[ 2026-03-27 16:12:50,144 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-27 16:12:55,706 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-27 16:12:55,706 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-27 16:12:55,708 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-27 16:12:55,780 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-27 16:12:55,781 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-27 16:12:55,825 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-27 16:12:55,965 ] 32 root - INFO - Required number of columns:2
[ 2026-03-27 16:12:55,967 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 16:12:55,967 ] 32 root - INFO - Required number of columns:2
[ 2026-03-27 16:12:55,967 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 16:12:56,193 ] 28 root - INFO - data Validation Completed
[ 2026-03-27 16:12:56,193 ] 31 root - INFO - data Transformation started
